date,fiscal_year,product_code,customer_code,sold_quantity,forecast_quantity,net_error,net_error_pct,abs_error,abs_error_pct,customer,market,forecast_accuracy
2020-09-01,2021,A0118150101,70014142,6,8,2,-81.4461,47723,106.6674,"Atliq Exclusive",Netherlands,0.0000
2020-09-01,2021,A0118150101,70014143,21,8,-13,-80.3440,48348,106.6226,"Atliq e Store",Netherlands,0.0000
2020-09-01,2021,A0118150101,90014135,5,3,-2,-76.7820,48267,103.3156,"Electricalslance Stores",Netherlands,0.0000
2020-09-01,2021,A0118150101,90014137,21,5,-16,-73.4833,45522,101.6071,"Media Markt",Netherlands,0.0000
2020-09-01,2021,A0118150101,90014138,15,12,-3,-80.5957,45612,104.1869,Mbit,Netherlands,0.0000
2020-09-01,2021,A0118150101,90014139,22,10,-12,-79.5631,48242,104.3296,Elkjøp,Netherlands,0.0000
2020-10-01,2021,A0118150101,90014140,13,2,-11,-79.5384,49586,104.2226,"Radio Popular",Netherlands,0.0000
2020-09-01,2021,A0118150101,90014141,24,12,-12,-76.1007,44852,102.1569,"Amazon ",Netherlands,0.0000
2020-10-01,2021,A0118150101,90014136,15,12,-3,-74.7306,48253,99.6098,"Reliance Digital",Netherlands,0.3902
2020-09-01,2021,A0118150101,90007197,95,13,-82,-51.7366,191032,84.2081,"Amazon ","South Korea",15.7919
2020-09-01,2021,A0118150101,70007198,24,51,27,-51.5300,188560,82.6640,"Atliq Exclusive","South Korea",17.3360
2020-09-01,2021,A0118150101,70007199,88,21,-67,-51.3069,194937,82.3781,"Atliq e Store","South Korea",17.6219
2020-10-01,2021,A0118150101,80007196,495,118,-377,-47.6073,807109,81.8093,Leader,"South Korea",18.1907
2020-10-01,2021,A0118150101,90012036,9,8,-1,-47.0144,65585,81.5876,Billa,Germany,18.4124
2020-09-01,2021,A0118150101,90012034,21,6,-15,-46.9771,62141,81.4943,Otto,Germany,18.5057
2020-09-01,2021,A0118150101,90019202,5,2,-3,-44.7799,14782,81.1395,"Argos (Sainsbury's)",Sweden,18.8605
2020-09-01,2021,A0118150101,90019203,3,4,1,-43.6149,15455,81.0860,"Amazon ",Sweden,18.9140
2020-09-01,2021,A0118150101,90012035,16,21,5,-45.7801,64924,81.0092,Notebillig,Germany,18.9908
2020-09-01,2021,A0118150101,90012037,31,15,-16,-43.2938,62164,80.7136,Saturn,Germany,19.2864
2020-09-01,2021,A0118150101,80007195,421,193,-228,-47.7819,786971,80.5643,Sage,"South Korea",19.4357
